conference,url,title,authors,abstract,citations,research_areas
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1689/2026,Cost-Sensitive Semi-Supervised Support Vector Machine,"Yu-Feng Li, James T. Kwok, Zhi-Hua Zhou","In this paper, we study cost-sensitive semi-supervised learning where many of the training examples are unlabeled and different misclassification errors are associated with unequal costs. This scenario occurs in many real-world applications. For example, in some disease diagnosis, the cost of erroneously diagnosing a patient as healthy is much higher than that of diagnosing a healthy person as a patient. Also, the acquisition of labeled data requires medical diagnosis which is expensive, while the collection of unlabeled data such as basic health information is much cheaper. We propose the CS4VM (Cost-Sensitive Semi-Supervised Support Vector Machine) to address this problem. We show that the CS4VM, when given the label means of the unlabeled data, closely approximates the supervised cost-sensitive SVM that has access to the ground-truth labels of all the unlabeled data. This observation leads to an efficient algorithm which first estimates the label means and then trains the CS4VM with the plug-in label means by an efficient SVM solver. Experiments on a broad range of data sets show that the proposed method is capable of reducing the total cost and is computationally efficient.",104,"{'Machine Learning': 2, 'Machine learning': 1, 'Artificial Intelligence': 1, 'Data Mining': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1820/2027,Non-Negative Matrix Factorization with Constraints,"Haifeng Liu, Zhaohui Wu","Non-negative matrix factorization (NMF), as a useful decomposition method for multivariate data, has been widely used in pattern recognition, information retrieval and computer vision. NMF is an effective algorithm to find the latent structure of the data and leads to a parts-based representation. However, NMF is essentially an unsupervised method and can not make use of label information. In this paper, we propose a novel semi-supervised matrix decomposition method, called Constrained Non-negative Matrix Factorization, which takes the label information as additional constraints. Specifically, we require that the data points sharing the same label have the same coordinate in the new representation space. This way, the learned representations can have more discriminating power. We demonstrate the effectiveness of this novel algorithm through a set of evaluations on real world applications.",60,"{'Machine Learning': 1, 'Data Management': 1, 'Informaiton Retrieval': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1671/2028,Gaussian Mixture Model with Local Consistency,"Jialu Liu, Deng Cai, Xiaofei He","Gaussian Mixture Model (GMM) is one of the most popular data clustering methods which can be viewed as a linear combination of different Gaussian components. In GMM, each cluster obeys Gaussian distribution and the task of clustering is to group observations into different components through estimating each cluster's own parameters. The Expectation-Maximization algorithm is always involved in such estimation problem. However, many previous studies have shown naturally occurring data may reside on or close to an underlying submanifold. In this paper, we consider the case where the probability distribution is supported on a submanifold of the ambient space. We take into account the smoothness of the conditional probability distribution along the geodesics of data manifold. That is, if two observations are close in intrinsic geometry, their distributions over different Gaussian components are similar. Simply speaking, we introduce a novel method based on manifold structure for data clustering, called Locally Consistent Gaussian Mixture Model (LCGMM). Specifically, we construct a nearest neighbor graph and adopt Kullback-Leibler Divergence as the distance measurement to regularize the objective function of GMM. Experiments on several data sets demonstrate the effectiveness of such regularization.",63,"{'Data Mining': 1, 'Text Mining': 1, 'Machine Learning': 1, 'Machine learning': 1, 'Computer vision': 1, 'Data mining': 1, 'Information retrieval': 1, 'machine learning': 1, 'computer vision': 1, 'data mining': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1950/2029,Constrained Metric Learning Via Distance Gap Maximization,"Wei Liu, Xinmei Tian, Dacheng Tao, Jianzhuang Liu","Vectored data frequently occur in a variety of fields, which are easy to handle since they can be mathematically abstracted as points residing in a Euclidean space. An appropriate distance metric in the data space is quite demanding for a great number of applications. In this paper, we pose robust and tractable metric learning under pairwise constraints that are expressed as similarity judgements between data pairs. The major features of our approach include: 1) it maximizes the gap between the average squared distance among dissimilar pairs and the average squared distance among similar pairs; 2) it is capable of propagating similar constraints to all data pairs; and 3) it is easy to implement in contrast to the existing approaches using expensive optimization such as semidefinite programming. Our constrained metric learning approach has widespread applicability without being limited to particular backgrounds. Quantitative experiments are performed for classification and retrieval tasks, uncovering the effectiveness of the proposed approach.",32,"{'Machine Learning': 2, 'Computer Vision': 2, 'Pattern Recognition': 1, 'Information Retrieval': 1, 'Artificial Intelligence': 1, 'Multimedia Information Retrieval': 1, 'artificial intelligence': 1, 'machine learning': 1, 'computer vision': 1, 'image processing': 1, 'data mining': 1, 'AI': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1790/2030,Multilinear Maximum Distance Embedding Via L1-Norm Optimization,"Yang Liu, Yan Liu, Keith C. C. Chan","Dimensionality reduction plays an important role in many machine learning and pattern recognition tasks. In this paper, we present a novel dimensionality reduction algorithm called multilinear maximum distance embedding (M2DE), which includes three key components. To preserve the local geometry and discriminant information in the embedded space, M2DE utilizes a new objective function, which aims to maximize the distances between some particular pairs of data points, such as the distances between nearby points and the distances between data points from different classes. To make the mapping of new data points straightforward, and more importantly, to keep the natural tensor structure of high-order data, M2DE integrates multilinear techniques to learn the transformation matrices sequentially. To provide reasonable and stable embedding results, M2DE employs the L1-norm, which is more robust to outliers, to measure the dissimilarity between data points. Experiments on various datasets demonstrate that M2DE achieves good embedding results of high-order data for classification tasks.",7,"{'Machine Learning': 1, 'Data Analytics': 1, 'Bioinformatics': 1, 'Fuzzy Systems': 1, 'Evolutionary Computation': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1919/2031,Learning Causal Models of Relational Domains,"Marc Maier, Brian Taylor, Huseyin Oktay, David Jensen","Methods for discovering causal knowledge from observational data have been a persistent topic of AI research for several decades. Essentially all of this work focuses on knowledge representations for propositional domains. In this paper, we present several key algorithmic and theoretical innovations that extend causal discovery to relational domains. We provide strong evidence that effective learning of causal models is enhanced by relational representations. We present an algorithm, relational PC, that learns causal dependencies in a state-of-the-art relational representation, and we identify the key representational and algorithmic innovations that make the algorithm possible. Finally, we prove the algorithm's theoretical correctness and demonstrate its effectiveness on synthetic and real data sets.",42,"{'Causal Discovery': 3, 'Statistical Relational Learning': 2, 'Survival Modeling': 1, 'Fairness and Transparency in Machine Learning': 1, 'Machine Learning': 2, 'Knowledge Discovery': 1, 'Machine learning': 1, 'causal inference': 1, 'Causation': 1, 'Computational Social Science': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1839/2032,Non-Metric Locality-Sensitive Hashing,"Yadong Mu, Shuicheng Yan","Non-metric distances are often more reasonable compared with metric ones in terms of consistency with human perceptions. However, existing locality-sensitive hashing (LSH) algorithms can only support data which are gauged with metrics. In this paper we propose a novel locality-sensitive hashing algorithm targeting such non-metric data. Data in original feature space are embedded into an implicit reproducing kernel Krein space and then hashed to obtain binary bits. Here we utilize the norm-keeping property of p-stable functions to ensure that two data's collision probability reflects their non-metric distance in original feature space. We investigate various concrete examples to validate the proposed algorithm. Extensive empirical evaluations well illustrate its effectiveness in terms of accuracy and retrieval speedup.",80,"{'Computer Vision': 2, 'Machine Learning': 2, 'Multimedia': 1, 'Fashion Recommendation': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1730/2034,A Two-Dimensional Topic-Aspect Model for Discovering Multi-Faceted Topics,"Michael Paul, Roxana Girju","This paper presents the Topic-Aspect Model (TAM), a Bayesian mixture model which jointly discovers topics and aspects. We broadly define an aspect of a document as a characteristic that spans the document, such as an underlying theme or perspective. Unlike previous models which cluster words by topic or aspect, our model can generate token assignments in both of these dimensions, rather than assuming words come from only one of two orthogonal models. We present two applications of the model. First, we model a corpus of computational linguistics abstracts, and find that the scientific topics identified in the data tend to include both a computational aspect and a linguistic aspect. For example, the computational aspect of GRAMMAR emphasizes parsing, whereas the linguistic aspect focuses on formal languages. Secondly, we show that the model can capture different viewpoints on a variety of topics in a corpus of editorials about the Israeli-Palestinian conflict. We show both qualitative and quantitative improvements in TAM over two other state-of-the-art topic models.",157,"{'Natural Language Processing': 1, 'Machine Learning': 1, 'Health Informatics': 1, 'semantics': 1, 'pragmatics': 1, 'discourse analysis': 1, 'human-human/machine communication': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1556/2036,Non-I.I.D. Multi-Instance Dimensionality Reduction by Learning a Maximum Bag Margin Subspace,"Wei Ping, Ye Xu, Kexin Ren, Chi-Hung Chi, Furao Shen","Multi-instance learning, as other machine learning tasks, also suffers from the curse of dimensionality. Although dimensionality reduction methods have been investigated for many years, multi-instance dimensionality reduction methods remain untouched. On the other hand, most algorithms in multi- instance framework treat instances in each bag as independently and identically distributed samples, which fails to utilize the structure information conveyed by instances in a bag. In this paper, we propose a multi-instance dimensionality reduction method, which treats instances in each bag as non-i.i.d. samples. We regard every bag as a whole entity and define a bag margin objective function. By maximizing the margin of positive and negative bags, we learn a subspace to obtain more salient representation of original data. Experiments demonstrate the effectiveness of the proposed method.",20,"{'machine learning': 1, 'speech processing': 1, 'natural language processing': 1, 'generative models': 1, 'Machine learning': 1, 'Search': 1, 'Behavior informatics': 1, 'big data and analytics': 1, 'service science and engineering': 1, 'cloud computing': 1, 'social computing': 1, 'Neural Networks': 1, 'Robotic Intelligence': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1779/2037,Conformal Mapping by Computationally Efficient Methods,"Stefan Pintilie, Ali Ghodsi","Dimensionality reduction is the process by which a set of data points in a higher dimensional space are mapped to a lower dimension while maintaining certain properties of these points relative to each other. One important property is the preservation of the three angles formed by a triangle consisting of three neighboring points in the high dimensional space. If this property is maintained for those same points in the lower dimensional embedding then the result is a conformal map. However, many of the commonly used nonlinear dimensionality reduction techniques, such as Locally Linear Embedding (LLE) or Laplacian Eigenmaps (LEM), do not produce conformal maps. Post-processing techniques formulated as instances of semi-definite programming (SDP) problems can be applied to the output of either LLE or LEM to produce a conformal map. However, the effectiveness of this approach is limited by the computational complexity of SDP solvers. This paper will propose an alternative post-processing algorithm that produces a conformal map but does not require a solution to a SDP problem and so is more computationally efficient thus allowing it to be applied to a wider selection of datasets. Using this alternative solution, the paper will also propose a new algorithm for 3D object classification. An interesting feature of the 3D classification algorithm is that it is invariant to the scale and the orientation of the surface.",5,"{'Machine Learning': 1, 'Deep Learning': 1, 'NLP': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1871/2039,Bayesian Matrix Factorization with Side Information and Dirichlet Process Mixtures,"Ian Porteous, Arthur Asuncion, Max Welling","Matrix factorization is a fundamental technique in machine learning that is applicable to collaborative filtering, information retrieval and many other areas. In collaborative filtering and many other tasks, the objective is to fill in missing elements of a sparse data matrix. One of the biggest challenges in this case is filling in a column or row of the matrix with very few observations. In this paper we introduce a Bayesian matrix factorization model that performs regression against side information known about the data in addition to the observations. The side information helps by adding observed entries to the factored matrices. We also introduce a nonparametric mixture model for the prior of the rows and columns of the factored matrices that gives a different regularization for each latent class. Besides providing a richer prior, the posterior distribution of mixture assignments reveals the latent classes. Using Gibbs sampling for inference, we apply our model to the Netflix Prize problem of predicting movie ratings given an incomplete user-movie ratings matrix. Incorporating rating information with gathered metadata information, our Bayesian approach outperforms other matrix factorization techniques even when using fewer dimensions.",169,"{'Machine Learning': 1, 'Artificial Intelligence': 1, 'Statistics': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1911/2040,Semi-Supervised Dimension Reduction for Multi-Label Classification,"Buyue Qian, Ian Davidson","A significant challenge to make learning techniques more suitable for general purpose use in AI is to move beyond i) complete supervision, ii) low dimensional data and iii) a single label per instance. Solving this challenge would allow making predictions for high dimensional large dataset with multiple (but possibly incomplete) labelings. While other work has addressed each of these problems separately, in this paper we show how to address them together, namely the problem of semi-supervised dimension reduction for multi-labeled classification, SSDR-MC. To our knowledge this is the first paper that attempts to address all challenges together. In this work, we study a novel joint learning framework which performs optimization for dimension reduction and multi-label inference in semi-supervised setting. The experimental results validate the performance of our approach, and demonstrate the effectiveness of connecting dimension reduction and learning.",62,"{'Data Mining': 1, 'Machine Learning': 1, 'Artificial Intelligence': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1707/2041,Non-Negative Matrix Factorization Clustering on Multiple Manifolds,"Bin Shen, Luo Si","Nonnegative Matrix Factorization (NMF) is a widely used technique in many applications such as clustering. It approximates the nonnegative data in an original high dimensional space with a linear representation in a low dimensional space by using the product of two nonnegative matrices. In many applications with data such as human faces or digits, data often reside on multiple manifolds, which may overlap or intersect. But the traditional NMF method and other existing variants of NMF do not consider this. This paper proposes a novel clustering algorithm that explicitly models the intrinsic geometrical structure of the data on multiple manifolds with NMF. The idea of the proposed algorithm is that a data point generated by several neighboring points on a specific manifold in the original space should be constructed in a similar way in the low dimensional subspace. A set of experimental results on two real world datasets demonstrate the advantage of the proposed algorithm.",76,"{'computer vision': 1, 'image processing': 1, 'machine learning': 1, 'Information Retrieval': 1, 'Natural Language Processing': 1, 'Machine Learning': 1, 'Intelligent tutoring system': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1800/2042,Constrained Coclustering for Textual Documents,"Yangqiu Song, Shimei Pan, Shixia Liu, Furu Wei, Michelle X. Zhou, Weihong Qian","In this paper, we present a constrained co-clustering approach for clustering textual documents. Our approach combines the benefits of information-theoretic co-clustering and constrained clustering. We use a two-sided hidden Markov random field (HMRF) to model both the document and word constraints. We also develop an alternating expectation maximization (EM) algorithm to optimize the constrained co-clustering model. We have conducted two sets of experiments on a benchmark data set: (1) using human-provided category labels to derive document and word constraints for semi-supervised document clustering, and (2) using automatically extracted named entities to derive document constraints for unsupervised document clustering. Compared to several representative constrained clustering and co-clustering approaches, our approach is shown to be more effective for high-dimensional, sparse text data.",47,"{'Data Mining': 1, 'Natural Language Processing': 2, 'Machine Learning': 2, 'Knowledge Graph': 1, 'Information Networks': 1, 'visual analytics': 1, 'information visualization': 1, 'explainable AI': 1, 'Question Answering': 1, 'Sentiment Analysis': 1, 'Summarization': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1949/2043,Multi-Instance Dimensionality Reduction,"Yu-Yin Sun, Michael K. Ng, Zhi-Hua Zhou","Multi-instance learning deals with problems that treat bags of instances as training examples. In single-instance learning problems, dimensionality reduction is an essential step for high-dimensional data analysis and has been studied for years. The curse of dimensionality also exists in multiinstance learning tasks, yet this difficult task has not been studied before. Direct application of existing single-instance dimensionality reduction objectives to multi-instance learning tasks may not work well since it ignores the characteristic of multi-instance learning that the labels of bags are known while the labels of instances are unknown. In this paper, we propose an effective model and develop an efficient algorithm to solve the multi-instance dimensionality reduction problem. We formulate the objective as an optimization problem by considering orthonormality and sparsity constraints in the projection matrix for dimensionality reduction, and then solve it by the gradient descent along the tangent space of the orthonormal matrices. We also propose an approximation for improving the efficiency. Experimental results validate the effectiveness of the proposed method.",18,"{'Computer Vision': 1, 'Machine Learning': 6, 'Robotics': 2, 'applied and computational mathematics': 2, 'artificial intelligence and machine learning': 2, 'data and imaging science': 2, 'Artificial Intelligence': 4, 'Data Mining': 3, 'machine learning': 4, 'speech processing': 2, 'natural language processing': 2, 'generative models': 2, 'Machine learning': 2, 'Search': 2, 'Behavior informatics': 1, 'big data and analytics': 1, 'service science and engineering': 1, 'cloud computing': 1, 'social computing': 1, 'Neural Networks': 2, 'Robotic Intelligence': 1, 'Optimization': 1, 'AI': 1, 'data mining': 1, 'text mining': 1, 'data privacy': 1, 'Image processing': 1, 'Object Recognition': 1, 'Attention': 1, 'Pattern Recognition': 1, 'Machine Vision': 1, 'Computer Networks': 1, 'ubiquitous computing': 1, 'human-computer interaction': 1, 'mental health': 1, 'mobile computing': 1, 'Deep Learning': 1, 'Computational Biology': 2, 'Bio-Informatics': 1, 'NLP': 1, 'Biophysics': 1, 'Bioinformatics': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1948/2045,Multi-Label Learning with Weak Label,"Yu-Yin Sun, Yin Zhang, Zhi-Hua Zhou","Multi-label learning deals with data associated with multiple labels simultaneously. Previous work on multi-label learning assumes that for each instance, the “full” label set associated with each training instance is given by users. In many applications, however, to get the full label set for each instance is difficult and only a “partial” set of labels is available. In such cases, the appearance of a label means that the instance is associated with this label, while the absence of a label does not imply that this label is not proper for the instance. We call this kind of problem “weak label” problem. In this paper, we propose the WELL (WEak Label Learning) method to solve the weak label problem. We consider that the classification boundary for each label should go across low density regions, and that each label generally has much smaller number of positive examples than negative examples. The objective is formulated as a convex optimization problem which can be solved efficiently. Moreover, we exploit the correlation between labels by assuming that there is a group of low-rank base similarities, and the appropriate similarities between instances for different labels can be derived from these base similarities. Experiments validate the performance of WELL.",179,"{'Computer Vision': 1, 'Machine Learning': 3, 'Robotics': 1, 'Artificial Intelligence': 2, 'Data Mining': 2}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1708/2047,Nonparametric Curve Extraction Based on Ant Colony System,"Qing Tan, Qing He, Zhongzhi Shi","Curve extraction is an important and basic technique in image processing and computer vision. Due to the complexity of the images and the limitation of segmentation algorithms, there are always a large number of noisy pixels in the segmented binary images. In this paper, we present an approach based on ant colony system (ACS) to detect nonparametric curves from a binary image containing discontinuous curves and noisy points. Compared with the well-known Hough transform (HT) method, the ACS-based curve extraction approach can deal with both regular and irregular curves without knowing their shapes in advance. The proposed approach has many characteristics such as faster convergence, implicit parallelism and strong ability to deal with highly-noised images. Moreover, our approach can extract multiple curves from an image, which is impossible for the previous genetic algorithm based approach. Experimental results show that the proposed ACS-based approach is effective and efficient.",0,"{'machine learning': 1, 'data mining': 1, 'transfer learning': 1, 'cloud computing': 1, 'big data': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1722/2048,Reinforcement Learning via AIXI Approximation,"Joel Veness, Kee Siong Ng, Marcus Hutter, David Silver","This paper introduces a principled approach for the design of a scalable general reinforcement learning agent. This approach is based on a direct approximation of AIXI, a Bayesian optimality notion for general reinforcement learning agents. Previously, it has been unclear whether the theory of AIXI could motivate the design of practical algorithms. We answer this hitherto open question in the affirmative, by providing the first computationally feasible approximation to the AIXI agent. To develop our approximation, we introduce a Monte Carlo Tree Search algorithm along with an agent-specific extension of the Context Tree Weighting algorithm. Empirically, we present a set of encouraging results on a number of stochastic, unknown, and partially observable domains.",31,"{'Artificial Intelligence': 3, 'Machine Learning': 2, 'Data Science': 1, 'science': 1, 'philosophy': 1, 'intelligence': 1, 'information': 1, 'physics': 1, 'Reinforcement Learning': 1, 'Planning': 1, 'Computer Games': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1880/2049,Integrating Sample-Based Planning and Model-Based Reinforcement Learning,"Thomas J. Walsh, Sergiu Goschin, Michael L. Littman","Recent advancements in model-based reinforcement learning have shown that the dynamics of many structured domains (e.g. DBNs) can be learned with tractable sample complexity, despite their exponentially large state spaces. Unfortunately, these algorithms all require access to a planner that computes a near optimal policy, and while many traditional MDP algorithms make this guarantee, their computation time grows with the number of states. We show how to replace these over-matched planners with a class of sample-based planners — whose computation time is independent of the number of states — without sacrificing the sample-efficiency guarantees of the overall learning algorithms. To do so, we define sufficient criteria for a sample-based planner to be used in such a learning system and analyze two popular sample-based approaches from the literature. We also introduce our own sample-based planner, which combines the strategies from these algorithms and still meets the criteria for integration into our learning system. In doing so, we define the first complete RL solution for compactly represented (exponentially sized) state spaces with efficiently learnable dynamics that is both sample efficient and whose computation time does not grow rapidly with the number of states.",129,"{'Artificial Intelligence': 1, 'Machine Learning': 2, 'Reinforcement Learning': 2, 'reinforcement learning': 1, 'machine learning': 1, 'artificial intelligence': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1693/2050,Discriminant Laplacian Embedding,"Hua Wang, Heng Huang, Chris Ding","Many real life applications brought by modern technologies often have multiple data sources, which are usually characterized by both attributes and pairwise similarities at the same time. For example in webpage ranking, a webpage is usually represented by a vector of term values, and meanwhile the internet linkages induce pairwise similarities among the webpages. Although both attributes and pairwise similarities are useful for class membership inference, many traditional embedding algorithms only deal with one type of input data. In order to make use of the both types of data simultaneously, in this work, we propose a novel Discriminant Laplacian Embedding (DLE) approach. Supervision information from training data are integrated into DLE to improve the discriminativity of the resulted embedding space. By solving the ambiguity problem in computing the scatter matrices caused by data points with multiple labels, we successfully extend the proposed DLE to multi-label classification. In addition, through incorporating the label correlations, the classification performance using multi-label DLE is further enhanced. Promising experimental results in extensive empirical evaluations have demonstrated the effectiveness of our approaches.",20,"{'machine learning': 5, 'medical image computing': 3, 'bioinformatics': 4, 'computer vision': 4, 'neuroinformatics': 2, 'Machine Learning & Big Data Mining': 2, 'Bioinformatics & System Biology': 2, 'Computer Vision': 10, 'Neuroinformatics': 2, 'Health Informatics': 2, 'data mining': 2, 'Pattern recognition': 1, 'Machine learning': 1, 'Computer vision': 1, 'medical image analysis': 1, 'brain connectivity': 1, 'diffusion MRI': 1, 'medical imaging': 1, 'Hyperspectral Image Analysis': 1, 'Object Detection': 1, 'hyperspectral imaging': 1, 'remote sensing': 1, 'pattern recognition': 1, 'Machine Learning': 6, 'Image Processing': 3, 'Statistical Machine Learning': 1, 'Big Data Analytics': 1, 'Image Analysis': 1, 'Chemometrics': 1, 'Machine learning and Pattern Recognition': 1, 'Security and Privacy': 1, 'Data Mining': 1, 'Artificial Intelligence': 1, 'Pattern Recognition': 2, 'Face Recognition': 1, 'Sign Language Recognition': 1, 'Sign Detection': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1799/2052,Bayesian Policy Search for Multi-Agent Role Discovery,"Aaron Wilson, Alan Fern, Prasad Tadepalli","Bayesian inference is an appealing approach for leveraging prior knowledge in reinforcement learning (RL). In this paper we describe an algorithm for discovering different classes of roles for agents via Bayesian inference. In particular, we develop a Bayesian policy search approach for Multi-Agent RL (MARL), which is model-free and allows for priors on policy parameters. We present a novel optimization algorithm based on hybrid MCMC, which leverages both the prior and gradient information estimated from trajectories. Our experiments in a complex real-time strategy game demonstrate the effective discovery of roles from supervised trajectories, the use of discovered roles for successful transfer to similar tasks, and the discovery of roles through reinforcement learning.",10,"{'Machine Learning': 3, 'Artificial Intelligence': 3, 'Computer Science': 1, 'Medicine': 1, 'Automated Planning': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1712/2053,Discovering Long Range Properties of Social Networks with Multi-Valued Time-Inhomogeneous Models,"Danny Wyatt, Tanzeem Choudhury, Jeff Bilmes","The current methods used to mine and analyze temporal social network data make two assumptions: all edges have the same strength, and all parameters are time-homogeneous. We show that those assumptions may not hold for social networks and propose an alternative model with two novel aspects: (1) the modeling of edges as multi-valued variables that can change in intensity, and (2) the use of a curved exponential family framework to capture time-inhomogeneous properties while retaining a parsimonious and interpretable model. We show that our model outperforms traditional models on two real-world social network data sets.",27,"{'Social Network Analysis': 1, 'Human Behavior Modeling': 1, 'Machine Learning': 1, 'health tech': 1, 'ubiquitous computing': 1, 'mobile systems': 1, 'machine learning and artificial intelligence': 1, 'combinatorial optimization': 1, 'speech and langauge processing': 1, 'bioinformatics': 1, 'high p': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1756/2054,Smooth Optimization for Effective Multiple Kernel Learning,"Zenglin Xu, Rong Jin, Shenghuo Zhu, Michael R. Lyu, Irwin King","Multiple Kernel Learning (MKL) can be formulated as a convex-concave minmax optimization problem, whose saddle point corresponds to the optimal solution to MKL. Most MKL methods employ the L1-norm simplex constraints on the combination weights of kernels, which therefore involves optimization of a non-smooth function of the kernel weights. These methods usually divide the optimization into two cycles: one cycle deals with the optimization on the kernel combination weights, and the other cycle updates the parameters of SVM. Despite the success of their efficiency, they tend to discard informative complementary kernels. To improve accuracy, we introduce smoothness to the optimization procedure. Furthermore, we transform the optimization into a single smooth convex optimization problem and employ the Nesterov’s method to efficiently solve the optimization problem. Experiments on benchmark data sets demonstrate that the proposed algorithm clearly improves current MKL methods in a number scenarios.",23,"{'machine learning': 4, 'artificial intelligence': 1, 'knowledge graph': 1, 'health informatics': 1, 'optimization': 1, 'Machine Learning': 1, 'Optimization': 1, 'Information Retrieval': 1, 'software engineering': 1, 'software reliability': 1, 'fault tolerance': 1, 'distributed systems': 1, 'social computing': 1, 'data mining': 1, 'NLP': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1602/2055,Dependence Minimizing Regression with Model Selection for Non-Linear Causal Inference under Non-Gaussian Noise,"Makoto Yamada, Masashi Sugiyama","The discovery of non-linear causal relationship under additive non-Gaussian noise models has attracted considerable attention recently because of their high flexibility. In this paper, we propose a novel causal inference algorithm called least-squares independence regression (LSIR). LSIR learns the additive noise model through minimization of an estimator of the squared-loss mutual information between inputs and residuals. A notable advantage of LSIR over existing approaches is that tuning parameters such as the kernel width and the regularization parameter can be naturally optimized by cross-validation, allowing us to avoid overfitting in a data-dependent fashion. Through experiments with real-world datasets, we show that LSIR compares favorably with the state-of-the-art causal inference method.",37,"{'Machine Learning': 2, 'Optimal transport': 1, 'kernel methods': 1, 'Data Mining': 1, 'Artificial Intelligence': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1924/2056,Local and Global Regressive Mapping for Manifold Learning with Out-of-Sample Extrapolation,"Yi Yang, Feiping Nie, Shiming Xiang, Yueting Zhuang, Wenhua Wang","Over the past few years, a large family of manifold learning algorithms have been proposed, and applied to various applications. While designing new manifold learning algorithms has attracted much research attention, fewer research efforts have been focused on out-of-sample extrapolation of learned manifold. In this paper, we propose a novel algorithm of manifold learning. The proposed algorithm, namely Local and Global Regressive Mapping (LGRM), employs local regression models to grasp the manifold structure. We additionally impose a global regression term as regularization to learn a model for out-of-sample data extrapolation. Based on the algorithm, we propose a new manifold learning framework. Our framework can be applied to any manifold learning algorithms to simultaneously learn the low dimensional embedding of the training data and a model which provides explicit mapping of the out-of-sample data to the learned manifold. Experiments demonstrate that the proposed framework uncover the manifold structure precisely and can be freely applied to unseen data.",59,"{'multimedia': 1, 'computer vision': 1, 'machine learning': 1, 'Machine Learning': 1, 'Pattern Recognition': 1, 'Computer Vision': 1, 'Data Mining': 1, 'Artificial Intelligence': 2, 'Distance Metric Learning': 1, 'Semi-supervised Learning': 1, 'Manifold Learning': 1, 'Regression': 1, 'Feature Selection': 1, 'Multimedia Retrieval': 1, 'Computer Animation': 1, 'Digital Library': 1}"
